ID,start,end,code
1,64.0,4185.0,Session (S)
2,111.0,1040.0,Warm Up (S)
3,1041.0,2173.0,Block 1 (S)
4,1043.0,1125.0,Organization
5,1123.0,1213.0,Coaching
6,1213.0,1256.0,Active
7,1257.0,1262.0,Coaching
8,1262.0,1276.0,Active
9,1276.0,1285.0,Coaching
10,1285.0,1305.0,Active
11,1306.0,1314.0,Coaching
12,1315.0,1343.0,Active
13,1344.0,1382.0,Coaching
14,1383.0,1397.0,Active
15,1398.0,1401.0,Coaching
16,1401.0,1410.0,Active
17,1412.0,1419.0,Coaching
18,1419.0,1443.0,Active
19,1444.0,1452.0,Coaching
20,1453.0,1464.0,Active
21,1464.0,1470.0,Coaching
22,1470.0,1484.0,Active
23,1485.0,1493.0,Coaching
24,1494.0,1506.0,Active
25,1506.0,1535.0,Coaching
26,1535.0,1541.0,Active
27,1541.0,1543.0,Coaching
28,1544.0,1560.0,Active
29,1561.0,1570.0,Coaching
30,1570.0,1581.0,Active
31,1581.0,1590.0,Coaching
32,1591.0,1617.0,Active
33,1617.0,1634.0,Coaching
34,1635.0,1647.0,Active
35,1648.0,1697.0,Coaching
36,1698.0,1709.0,Active
37,1709.0,1711.0,Coaching
38,1712.0,1730.0,Active
39,1730.0,1736.0,Coaching
40,1736.0,1752.0,Active
41,1753.0,1767.0,Coaching
42,1767.0,1791.0,Active
43,1791.0,1805.0,Coaching
44,1806.0,1821.0,Active
45,1822.0,1864.0,Coaching
46,1864.0,1873.0,Active
47,1873.0,1877.0,Coaching
48,1878.0,1890.0,Active
49,1890.0,1898.0,Coaching
50,1898.0,1898.0,Active
51,1900.0,1900.0,Coaching
52,1901.0,1916.0,Active
53,1917.0,1925.0,Coaching
54,1926.0,1941.0,Active
55,1941.0,1955.0,Coaching
56,1956.0,1971.0,Active
57,1972.0,1981.0,Coaching
58,1981.0,1990.0,Active
59,1991.0,2035.0,Coaching
60,2036.0,2050.0,Active
61,2051.0,2058.0,Coaching
62,2059.0,2076.0,Active
63,2076.0,2083.0,Coaching
64,2084.0,2106.0,Active
65,2106.0,2117.0,Coaching
66,2118.0,2133.0,Active
67,2133.0,2145.0,Coaching
68,2145.0,2172.0,Active
69,2173.0,3309.0,Block 2 (S)
70,2175.0,2302.0,Organization
71,2302.0,2429.0,Coaching
72,2429.0,2466.0,Active
73,2466.0,2478.0,Coaching
74,2479.0,2513.0,Active
75,2514.0,2529.0,Coaching
76,2530.0,2566.0,Active
77,2540.0,2550.0,Save
