ID,start,end,code
1,953.0,953.0,Session (S)
2,1012.0,1098.0,Coaching
3,1099.0,1099.0,Warm Up (S)
4,1103.0,1599.0,Active
5,1602.0,1602.0,Warm Up (E)
6,1604.0,1604.0,Block 1 (S)
7,1605.0,1759.0,Organization
8,1760.0,1930.0,Active
9,1931.0,2076.0,Coaching
10,2075.0,2671.0,Active
11,2672.0,2828.0,Coaching
12,2746.0,2746.0,Split 1
13,2832.0,2832.0,Block 1 (E)
14,2870.0,2870.0,Warm Up (S)
15,2873.0,3045.0,Active
16,3044.0,3044.0,Warm Up (E)
17,3045.0,3049.0,Coaching
18,3048.0,3048.0,Block 1 (S)
19,3049.0,3242.0,Organization
20,3226.0,4118.0,Active
21,3243.0,3288.0,Active
22,4135.0,4135.0,Block 1 (E)
23,4181.0,4181.0,Session (E)
